Organisation Code,Legal Name,Business name(s),training_code,National Title,Specialisations,NRT Type,Usage Recommendation,Usage Recommendation Start Date,NRT Status,Currency Period Start Date,Currency Period End Date,Scope Extent,Scope Start Date,Scope End Date,Scope,NSW delivery approved,VIC delivery approved,QLD delivery approved,SA delivery approved,WA delivery approved,TAS delivery approved,NT delivery approved,ACT delivery approved,International delivery approved,Superseded by,Is Equivalent,Supersedes,Is Equivalent,Latest Release Number,Latest Release Date,Parent Training Package Code,Parent Training Package Title,Is Confidential,Training Package Developer,Copyright Holder,Copyright Holder Job Title,Copyright Holder Group Name,Copyright Holder Organisation,Copyright Holder Email,Recognition Manager,ANZSCO Code,ANZSCO Name,ASCO Code,ASCO Name,ASCED6 Code,ASCED6 Name,ASCED4 Code,ASCED4 Name,Taxonomy (Industry),Taxonomy (Occupation),Qualification Level Code,Qualification Level Name,Licencing,Has Work Placement Hours,Work Placement Hours,Pre-requisite
41304,PM2 Pty Ltd,ONSHIFT EDUCATION;PM SQUARED,AHCBUS407,Cost a project,N,Unit of competency,Current,21/10/2019,Current,21/10/2019,,"Deliver and assess , Granted",29/08/2024,06/10/2029,Implicit,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,AHCBUS402,TRUE,1,21/10/2019,AHC,"Agriculture, Horticulture and Conservation and Land Management Training Package",FALSE,Skills Insight,,,,,,Skills and Workforce Ministerial Council,,,,,80315,Project Management,,,,,,,FALSE,FALSE,,FALSE
41304,PM2 Pty Ltd,ONSHIFT EDUCATION;PM SQUARED,AHCDRG305,Install drainage systems,N,Unit of competency,Current,21/10/2019,Current,21/10/2019,,"Deliver and assess , Granted",29/08/2024,06/10/2029,Implicit,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,AHCDRG301,TRUE,1,21/10/2019,AHC,"Agriculture, Horticulture and Conservation and Land Management Training Package",FALSE,Skills Insight,,,,,,Skills and Workforce Ministerial Council,,,,,30907,Water And Sanitary Engineering,,,,,,,FALSE,FALSE,,FALSE
41304,PM2 Pty Ltd,ONSHIFT EDUCATION;PM SQUARED,AHCGRI301,"Maintain roof gardens, vertical gardens and green facades",N,Unit of competency,Current,24/12/2020,Current,24/12/2020,,"Deliver and assess , Granted",29/08/2024,06/10/2029,Implicit,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,1,24/12/2020,AHC,"Agriculture, Horticulture and Conservation and Land Management Training Package",FALSE,Skills Insight,,,,,,Skills and Workforce Ministerial Council,,,,,50301,Horticulture,,,,,,,TRUE,FALSE,,FALSE
41304,PM2 Pty Ltd,ONSHIFT EDUCATION;PM SQUARED,AHCIRG345,Install pressurised irrigation systems,N,Unit of competency,Current,21/10/2019,Current,21/10/2019,,"Deliver and assess , Granted",29/08/2024,06/10/2029,Implicit,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,AHCIRG331,TRUE,1,21/10/2019,AHC,"Agriculture, Horticulture and Conservation and Land Management Training Package",FALSE,Skills Insight,,,,,,Skills and Workforce Ministerial Council,,,,,59999,"Agriculture, Environmental And Related Studies, N.e.c.",,,,,,,FALSE,FALSE,,FALSE
41304,PM2 Pty Ltd,ONSHIFT EDUCATION;PM SQUARED,AHCLSC311,Set out site for construction works,N,Unit of competency,Current,15/02/2022,Current,15/02/2022,,"Deliver and assess , Granted",29/08/2024,06/10/2029,Implicit,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,AHCLSC301,FALSE,1,15/02/2022,AHC,"Agriculture, Horticulture and Conservation and Land Management Training Package",FALSE,Skills Insight,,,,,,Skills and Workforce Ministerial Council,,,,,40303,Building Construction Management,,,,,,,FALSE,FALSE,,FALSE
41304,PM2 Pty Ltd,ONSHIFT EDUCATION;PM SQUARED,AHCLSC312,Construct brick and block structures and features,N,Unit of competency,Current,15/02/2022,Current,15/02/2022,,"Deliver and assess , Granted",29/08/2024,06/10/2029,Implicit,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,AHCLSC303,FALSE,1,15/02/2022,AHC,"Agriculture, Horticulture and Conservation and Land Management Training Package",FALSE,Skills Insight,,,,,,Skills and Workforce Ministerial Council,,,,,40309,Bricklaying And Stonemasonry,,,,,,,TRUE,FALSE,,TRUE
41304,PM2 Pty Ltd,ONSHIFT EDUCATION;PM SQUARED,AHCLSC313,"Construct stone structures and features, and install stone cladding",N,Unit of competency,Current,15/02/2022,Current,15/02/2022,,"Deliver and assess , Granted",29/08/2024,06/10/2029,Implicit,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,AHCLSC305,FALSE,1,15/02/2022,AHC,"Agriculture, Horticulture and Conservation and Land Management Training Package",FALSE,Skills Insight,,,,,,Skills and Workforce Ministerial Council,,,,,40309,Bricklaying And Stonemasonry,,,,,,,TRUE,FALSE,,FALSE
41304,PM2 Pty Ltd,ONSHIFT EDUCATION;PM SQUARED,AHCLSC314,Implement a tree transplanting program,N,Unit of competency,Current,15/02/2022,Current,15/02/2022,,"Deliver and assess , Granted",29/08/2024,06/10/2029,Implicit,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,AHCLSC310,FALSE,1,15/02/2022,AHC,"Agriculture, Horticulture and Conservation and Land Management Training Package",FALSE,Skills Insight,,,,,,Skills and Workforce Ministerial Council,,,,,50301,Horticulture,,,,,,,FALSE,FALSE,,FALSE
41304,PM2 Pty Ltd,ONSHIFT EDUCATION;PM SQUARED,AHCLSC315,Implement an outdoor tiling project,N,Unit of competency,Current,15/02/2022,Current,15/02/2022,,"Deliver and assess , Granted",29/08/2024,06/10/2029,Implicit,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,1,15/02/2022,AHC,"Agriculture, Horticulture and Conservation and Land Management Training Package",FALSE,Skills Insight,,,,,,Skills and Workforce Ministerial Council,,,,,40399,"Building, N.e.c.",,,,,,,FALSE,FALSE,,FALSE
41304,PM2 Pty Ltd,ONSHIFT EDUCATION;PM SQUARED,AHCLSC316,Implement a paving project,N,Unit of competency,Current,15/02/2022,Current,15/02/2022,,"Deliver and assess , Granted",29/08/2024,06/10/2029,Implicit,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,AHCLSC306,FALSE,1,15/02/2022,AHC,"Agriculture, Horticulture and Conservation and Land Management Training Package",FALSE,Skills Insight,,,,,,Skills and Workforce Ministerial Council,,,,,40399,"Building, N.e.c.",,,,,,,TRUE,FALSE,,FALSE
